Total_Income,Total_Food_Expenditure,Restaurant_and_hotels_Expenditure,Alcoholic_Beverages_and_Tobacco_Expenditure,Clothing_Footwear_and_Other_Wear_Expenditure,House_Rent__Water_and_Electricity_Expenditure,Medical_Care_Expenditure,Transportation_Expenditure,Communication_Expenditure,Education_Expenditure,Miscellaneous_Goods_and_Services_Expenditure,Total_Expenses,Savings
167335.0,151874.0,8250.0,1080.0,660.0,23700.0,175.0,5700.0,660.0,6000.0,4206.0,202305.0,-34970.0
144150.0,226638.0,5395.0,2034.0,1410.0,11670.0,2970.0,2100.0,360.0,150.0,3726.0,256453.0,-112303.0
141396.0,170392.0,7025.0,750.0,6250.0,20400.0,1036.0,2280.0,720.0,150.0,2442.0,211445.0,-70049.0
134410.0,139116.0,2590.0,855.0,3430.0,19950.0,2298.0,1500.0,540.0,1080.0,2838.0,174197.0,-39787.0
391100.0,233696.0,3600.0,1810.0,1980.0,45300.0,3600.0,5400.0,2520.0,0.0,5094.0,303000.0,88100.0
143105.0,197051.0,930.0,1020.0,1055.0,19032.0,0.0,2400.0,480.0,230.0,4908.0,227106.0,-84001.0
221610.0,184907.0,3420.0,546.0,2655.0,15900.0,1100.0,3660.0,870.0,1500.0,9078.0,223636.0,-2026.0
167560.0,176592.0,3355.0,468.0,4025.0,19722.0,257.0,3594.0,1800.0,300.0,7056.0,217169.0,-49609.0
246260.0,308127.0,4325.0,2060.0,2260.0,15930.0,1060.0,2100.0,660.0,200.0,4854.0,341576.0,-95316.0
213660.0,239701.0,11495.0,0.0,1450.0,12810.0,4110.0,4500.0,300.0,0.0,3294.0,277660.0,-64000.0
199736.0,217056.0,2425.0,770.0,3330.0,17208.0,260.0,1800.0,840.0,0.0,4548.0,248237.0,-48501.0
407420.0,258861.0,23725.0,0.0,1660.0,27900.0,1729.0,3000.0,480.0,10000.0,4062.0,331417.0,76003.0
161400.0,203107.0,2590.0,240.0,2605.0,17166.0,430.0,1200.0,660.0,0.0,4596.0,232594.0,-71194.0
192180.0,190472.0,3885.0,2503.0,2265.0,19512.0,240.0,1620.0,390.0,220.0,6750.0,227857.0,-35677.0
541622.0,134815.0,0.0,0.0,3775.0,32100.0,4000.0,3300.0,900.0,0.0,4482.0,183372.0,358250.0
568983.0,278492.0,14130.0,60.0,14972.0,49242.0,496.0,16308.0,5400.0,22050.0,38436.0,439586.0,129397.0
111952.0,181612.0,8605.0,252.0,2025.0,22500.0,1400.0,240.0,432.0,630.0,4548.0,222244.0,-110292.0
195698.0,190101.0,8605.0,160.0,1430.0,16620.0,150.0,1440.0,510.0,300.0,5232.0,224548.0,-28850.0
50561.0,48311.0,0.0,0.0,400.0,10800.0,50.0,300.0,0.0,0.0,1032.0,60893.0,-10332.0
142976.0,122488.0,0.0,780.0,1280.0,11400.0,100.0,1140.0,582.0,0.0,3240.0,141010.0,1966.0
203020.0,204889.0,8425.0,1560.0,4015.0,18924.0,685.0,2700.0,1182.0,300.0,4722.0,247402.0,-44382.0
147180.0,141744.0,1865.0,2600.0,3770.0,20790.0,470.0,2028.0,744.0,300.0,4008.0,178319.0,-31139.0
132110.0,172661.0,4120.0,1976.0,1930.0,24012.0,120.0,420.0,432.0,300.0,5322.0,211293.0,-79183.0
123860.0,127344.0,1865.0,0.0,3035.0,24120.0,100.0,3480.0,936.0,290.0,4230.0,165400.0,-41540.0
163580.0,160271.0,3245.0,5392.0,5559.0,31260.0,245.0,6150.0,1608.0,260.0,6870.0,220860.0,-57280.0
401598.0,224066.0,11890.0,1530.0,13605.0,67020.0,725.0,55008.0,3972.0,4500.0,5076.0,387392.0,14206.0
190634.0,162724.0,1695.0,5044.0,3706.0,26034.0,120.0,1920.0,1080.0,150.0,3588.0,206061.0,-15427.0
171810.0,132747.0,5250.0,6990.0,1200.0,21594.0,100.0,1320.0,1080.0,150.0,3900.0,174331.0,-2521.0
96770.0,172691.0,0.0,894.0,1890.0,16680.0,1000.0,1140.0,840.0,0.0,4416.0,199551.0,-102781.0
108440.0,110138.0,1695.0,0.0,2120.0,14082.0,0.0,720.0,0.0,360.0,3030.0,132145.0,-23705.0
147375.0,166008.0,0.0,239.0,2920.0,28326.0,120.0,2340.0,1500.0,0.0,4080.0,205533.0,-58158.0
145910.0,206550.0,12740.0,195.0,6130.0,27750.0,164.0,7074.0,2160.0,9000.0,6924.0,278687.0,-132777.0
94435.0,86869.0,0.0,0.0,560.0,17250.0,680.0,1440.0,0.0,0.0,2220.0,109019.0,-14584.0
111570.0,131166.0,0.0,480.0,2350.0,19194.0,730.0,1080.0,582.0,0.0,3690.0,159272.0,-47702.0
121160.0,163142.0,1130.0,0.0,2120.0,40518.0,776.0,3660.0,660.0,50.0,4746.0,216802.0,-95642.0
111620.0,157753.0,9100.0,240.0,2885.0,15282.0,120.0,4140.0,312.0,1410.0,5304.0,196546.0,-84926.0
397828.0,189539.0,7380.0,2410.0,5049.0,22950.0,1025.0,6480.0,2100.0,500.0,31482.0,268915.0,128913.0
184840.0,173813.0,4450.0,1920.0,1770.0,17874.0,0.0,1560.0,600.0,0.0,3378.0,205365.0,-20525.0
291100.0,140377.0,10380.0,1140.0,2660.0,39654.0,50.0,4992.0,1500.0,7900.0,7896.0,216549.0,74551.0
369096.0,161721.0,12900.0,126.0,1590.0,48336.0,1224.0,5370.0,1080.0,9000.0,7938.0,249285.0,119811.0
69635.0,39153.0,0.0,0.0,180.0,12900.0,300.0,360.0,0.0,0.0,672.0,53565.0,16070.0
116360.0,69746.0,0.0,0.0,280.0,21060.0,150.0,720.0,60.0,0.0,1512.0,93528.0,22832.0
235018.0,129228.0,4120.0,480.0,2600.0,20472.0,60.0,2880.0,660.0,750.0,4374.0,165624.0,69394.0
224910.0,168026.0,4120.0,216.0,2670.0,30144.0,50.0,6000.0,1560.0,600.0,4476.0,217862.0,7048.0
182380.0,115092.0,2260.0,240.0,1350.0,19938.0,0.0,1800.0,0.0,150.0,3096.0,143926.0,38454.0
209420.0,205105.0,8970.0,1040.0,3460.0,31008.0,150.0,1200.0,840.0,950.0,5772.0,258495.0,-49075.0
72120.0,154137.0,4120.0,252.0,2420.0,18846.0,220.0,3780.0,1380.0,600.0,4086.0,189841.0,-117721.0
261680.0,245963.0,21000.0,1040.0,4540.0,39672.0,380.0,7920.0,1560.0,830.0,9300.0,332205.0,-70525.0
173265.0,86300.0,4780.0,0.0,2525.0,22662.0,1568.0,5520.0,1020.0,2100.0,2934.0,129409.0,43856.0
91075.0,76512.0,0.0,300.0,730.0,15558.0,160.0,1476.0,540.0,0.0,1680.0,96956.0,-5881.0
209340.0,190770.0,4295.0,1220.0,4330.0,24480.0,2500.0,3900.0,1758.0,650.0,4356.0,238259.0,-28919.0
339773.0,111679.0,1330.0,2344.0,6255.0,72198.0,6075.0,3900.0,840.0,150.0,4014.0,208785.0,130988.0
181948.0,134574.0,2600.0,1791.0,4440.0,17400.0,480.0,4920.0,1050.0,0.0,3810.0,171065.0,10883.0
216280.0,174487.0,0.0,2810.0,2045.0,30264.0,3600.0,2700.0,1380.0,350.0,6234.0,223870.0,-7590.0
206165.0,151703.0,0.0,2285.0,2070.0,23454.0,1269.0,4920.0,540.0,100.0,7674.0,194015.0,12150.0
246077.0,168970.0,1530.0,1211.0,1915.0,29340.0,11730.0,2976.0,360.0,1650.0,4554.0,224236.0,21841.0
238996.0,213540.0,2260.0,1391.0,6205.0,22890.0,430.0,4170.0,480.0,150.0,4872.0,256388.0,-17392.0
65490.0,49298.0,0.0,0.0,260.0,13920.0,900.0,2760.0,600.0,0.0,2388.0,70126.0,-4636.0
178101.0,212953.0,3390.0,1050.0,2060.0,22806.0,344.0,4152.0,480.0,2200.0,7974.0,257409.0,-79308.0
219295.0,128853.0,0.0,1521.0,1270.0,19962.0,9150.0,4020.0,780.0,0.0,6996.0,172552.0,46743.0
286490.0,223152.0,656.0,260.0,2390.0,29886.0,10970.0,6930.0,2400.0,150.0,5928.0,282722.0,3768.0
147795.0,189252.0,450.0,630.0,2195.0,17400.0,80.0,4920.0,540.0,150.0,9522.0,225139.0,-77344.0
179125.0,140599.0,0.0,1181.0,2570.0,21300.0,2254.0,5268.0,960.0,35.0,4356.0,178523.0,602.0
225685.0,151167.0,0.0,2840.0,2090.0,25284.0,50.0,2760.0,660.0,3991.0,4158.0,193000.0,32685.0
739045.0,194505.0,1000.0,7440.0,16143.0,24780.0,5500.0,22494.0,1140.0,2360.0,14574.0,289936.0,449109.0
180020.0,148296.0,0.0,2160.0,6970.0,16776.0,0.0,0.0,390.0,0.0,1854.0,176446.0,3574.0
91690.0,135606.0,0.0,0.0,1045.0,15600.0,0.0,1920.0,0.0,0.0,1854.0,156025.0,-64335.0
159805.0,79952.0,0.0,0.0,2375.0,18120.0,50.0,2280.0,720.0,250.0,3000.0,106747.0,53058.0
202433.0,101677.0,0.0,3200.0,2015.0,18090.0,0.0,0.0,0.0,300.0,2100.0,127382.0,75051.0
395784.0,162074.0,0.0,1820.0,4560.0,25050.0,1930.0,12540.0,900.0,4800.0,5706.0,219380.0,176404.0
236460.0,84732.0,0.0,1690.0,2115.0,16146.0,0.0,6840.0,1140.0,0.0,2286.0,114949.0,121511.0
196446.0,95873.0,0.0,0.0,2590.0,15486.0,5244.0,9540.0,1170.0,0.0,3990.0,133893.0,62553.0
406810.0,147668.0,0.0,9278.0,5375.0,25668.0,100.0,6600.0,840.0,0.0,15480.0,211009.0,195801.0
168270.0,202685.0,0.0,360.0,500.0,23052.0,1050.0,3660.0,840.0,150.0,3888.0,236185.0,-67915.0
552074.0,158867.0,1000.0,1300.0,7660.0,31578.0,4850.0,8616.0,2400.0,0.0,47034.0,263305.0,288769.0
184825.0,222704.0,0.0,1690.0,5020.0,17646.0,450.0,3360.0,720.0,2600.0,4638.0,258828.0,-74003.0
115370.0,67696.0,0.0,240.0,600.0,14040.0,50.0,0.0,0.0,0.0,2160.0,84786.0,30584.0
213730.0,149618.0,0.0,3115.0,5925.0,17610.0,50.0,5892.0,840.0,300.0,3786.0,187136.0,26594.0
215480.0,114336.0,2200.0,1660.0,4635.0,24492.0,4168.0,7098.0,3240.0,150.0,3216.0,165195.0,50285.0
193225.0,144918.0,0.0,2030.0,3595.0,23988.0,850.0,6738.0,540.0,4000.0,9300.0,195959.0,-2734.0
130895.0,102766.0,0.0,1010.0,1410.0,18186.0,0.0,1350.0,540.0,5600.0,2802.0,133664.0,-2769.0
114225.0,75923.0,0.0,650.0,1820.0,13194.0,0.0,0.0,180.0,0.0,2352.0,94119.0,20106.0
163920.0,131795.0,0.0,1690.0,1735.0,17550.0,1550.0,2160.0,840.0,150.0,2940.0,160410.0,3510.0
1315110.0,419132.0,33090.0,4522.0,19720.0,97740.0,28910.0,36960.0,10920.0,1400.0,66348.0,718742.0,596368.0
163950.0,225504.0,14515.0,2383.0,4890.0,15312.0,215.0,10800.0,1260.0,1270.0,8070.0,284219.0,-120269.0
211703.0,256634.0,11780.0,9044.0,7474.0,43332.0,175.0,14994.0,3840.0,3650.0,15822.0,366745.0,-155042.0
124430.0,165325.0,7200.0,1710.0,2740.0,23172.0,120.0,8460.0,1296.0,15500.0,5946.0,231469.0,-107039.0
405555.0,236071.0,36890.0,1650.0,12901.0,44508.0,2800.0,21420.0,3360.0,32350.0,36408.0,428358.0,-22803.0
